 * Audi & Wapstra NPA595 (1995) 409:
 * M(Z,A) [MeV] = A*u + D(Z,A) where u is
  931.493835 MeV
 * B(Z,A) = Z*D(H) + N*D(n) - D(Z,A)
 *  Z    A      M(MeV)       D(MeV)       B(MeV)
   10   24   22349.9004     -5.95166    191.83997
   10   25   23285.2363     -2.10956    196.06921
   10   26   24219.2695      0.42981    201.60120
   10   27   25157.4023      7.06879    203.03357
   10   28   26093.0723     11.24487    206.92883
   10   29   27031.3789     18.05768    208.18738
   10   30   27967.9180     23.10291    211.21350
   10   31   28907.1504     30.84149    211.54626
   10   32   29845.0820     37.27930    213.17981
   10   33   30785.2949     45.99835    212.53210
   10   34   31723.9141     53.12366    213.47815
   11   18   16791.0781     24.18909    112.48871
   11   19   17711.3105     12.92767    131.82147
   11   20   18636.7246      6.84790    145.97260
   11   21   18629.8770   -931.49359   1092.38550
   11   22   20487.6816     -5.18274    174.14594
   11   23   21414.8281     -9.53009    186.56464
   11   24   22347.4336     -8.41846    193.52435
   11   25   23277.9883     -9.35760    202.53485
   11   26   24211.9785     -6.86121    208.10980
   11   27   25144.8164     -5.51715    214.83710
   11   28   26080.8379     -0.98950    218.38080
   11   29   27015.9863      2.66510    222.79755
   11   30   27953.1758      8.36072    225.17328
   11   31   28888.9648     12.65594    228.94940
   11   32   29826.8672     19.06445    230.61224
   11   33   30764.1836     24.88702    232.86102
   11   34   31703.5527     32.76233    233.05707
   11   35   32641.8652     39.58099    234.30975
   11   36   33581.7305     47.95239    234.00970
   11   37   34520.5469     55.27496    234.75848
   12   19   17731.4219     33.03900    110.92773
   12   20   18647.4473     17.57056    134.46753
   12   21   19572.2812     10.91071    149.19873
   12   22   20492.4688     -0.39563    168.57642
   12   23   21418.8848     -5.47345    181.72559
   12   24   22341.9199    -13.93213    198.25562
   12   25   23274.1523    -13.19354    205.58838
   12   26   24202.6250    -16.21472    216.68091
   12   27   25135.7461    -14.58746    223.12500
   12   28   26066.8086    -15.01880    231.62769
   12   29   27002.7012    -10.62006    235.30029
   12   30   27935.9043     -8.91077    241.66235
   12   31   28873.0918     -3.21710    244.04004
   12   32   29806.8496     -0.95312    249.84741
   12   33   30744.1895      4.89288    252.07275
   12   34   31679.5996      8.80920    256.22778
   12   35   32618.4375     16.15326    256.95508
   12   36   33555.2031     21.42505    259.75464
   12   37   34494.5195     29.24762    260.00342
   12   38   35431.7617     34.99597    262.32642
   12   39   36371.8281     43.56854    261.82520
   12   40   37309.9883     50.23486    263.23022
   13   21   19587.4902     26.11969    133.20734
   13   22   20511.0469     18.18250    149.21588
   13   23   21431.1270      6.76874    168.70099
   13   24   22355.7949     -0.05713    183.59821
   13   25   23278.4297     -8.91620    200.52863
   13   26   24206.6289    -12.21082    211.89459
   13   27   25133.1367    -17.19684    224.95197
   13   28   26064.9766    -16.85083    232.67731
   13   29   26995.1074    -18.21381    242.11163
   13   30   27928.9414    -15.87366    247.84283
   13   31   28861.3555    -14.95343    254.99396
   13   32   29796.7402    -11.06250    259.17438
   13   33   30730.7676     -8.52899    264.71222
   13   34   31667.8594     -2.93103    267.18561
   13   35   32602.1523     -0.13190    272.45782
   13   36   33539.5586      5.78052    274.61676
   13   37   34475.2188      9.94684    278.52179
   13   38   35412.8164     16.05066    280.48932
   13   39   36349.6562     21.39667    283.21466
   13   40   37289.0469     29.29346    283.38922
   13   41   38226.9531     35.70587    285.04816
   13   42   39166.4180     43.67688    285.14850
   14   22   20525.0293     32.16492    134.45105
   14   23   21448.1309     23.77264    150.91467
   14   24   22366.6055     10.75342    172.00525
   14   25   23291.1719      3.82599    187.00403
   14   26   24211.6953     -7.14441    206.04578
   14   27   25137.9492    -12.38434    219.35706
   14   28   26060.3340    -21.49341    236.53748
   14   29   26991.4258    -21.89545    245.01086
   14   30   27920.3828    -24.43225    255.61902
   14   31   28853.3594    -22.94952    262.20764
   14   32   29783.7207    -24.08203    271.41150
   14   33   30718.8047    -20.49188    275.89270
   14   34   31650.8340    -19.95642    283.42859
   14   35   32587.9258    -14.35846    285.90198
   14   36   33521.2969    -12.48120    292.09607
   14   37   34458.6914     -6.58051    294.26672
   14   38   35392.6953     -4.07043    299.82800
   14   39   36330.1875      1.92792    301.90100
   14   40   37265.2227      5.46924    306.43103
   14   41   38204.8086     13.56134    306.41028
   14   42   39141.1758     18.43469    309.60828
   14   43   40080.9297     26.69476    309.41956
   14   44   41018.5742     32.84546    311.34021
   15   24   22387.8477     31.99561    149.98065
   15   25   23306.2188     18.87286    171.17474
   15   26   24229.8125     10.97278    187.14618
   15   27   25149.6152     -0.71832    206.90863
   15   28   26074.6699     -7.15747    221.41913
   15   29   26996.3672    -16.95404    239.28705
   15   30   27924.6133    -20.20178    250.60614
   15   31   28851.8691    -24.43976    262.91547
   15   32   29783.4980    -24.30469    270.85175
   15   33   30712.9590    -26.33759    280.95599
   15   34   31646.2324    -24.55798    287.24774
   15   35   32577.4258    -24.85846    295.61957
   15   36   33513.5273    -20.25073    299.08319
   15   37   34446.2773    -18.99457    305.89838
   15   38   35382.0078    -14.75793    309.73309
   15   39   36315.3867    -12.87286    315.91937
   15   40   37251.6484     -8.10498    319.22284
   15   41   38185.9688     -5.27850    324.46771
   15   42   39123.6797      0.93860    326.32196
   15   43   40060.0039      5.76898    329.56293
   15   44   40997.8281     12.09937    331.30389
   15   45   41935.1250     17.90240    333.57220
   15   46   42874.2227     25.50623    334.03973
   16   26   24244.8086     25.96887    171.36768
   16   27   25167.8770     17.54340    187.86450
   16   28   26085.9004      4.07300    209.40625
   16   29   27010.1621     -3.15912    224.70972
   16   30   27930.7520    -14.06311    243.68506
   16   31   28857.2637    -19.04523    256.73853
   16   32   29781.7871    -26.01562    271.78027
   16   33   30712.7109    -26.58563    280.42163
   16   34   31640.8613    -29.92908    291.83643
   16   35   32573.4375    -28.84674    298.82544
   16   36   33503.1133    -30.66479    308.71484
   16   37   34438.3750    -26.89691    313.01831
   16   38   35369.9062    -26.85950    321.05225
   16   39   36305.0977    -23.16193    325.42603
   16   40   37236.8867    -22.86670    333.20215
   16   41   38172.2305    -19.01678    337.42358
   16   42   39105.0625    -17.67859    344.15674
   16   43   40042.2695    -11.96539    346.51489
   16   44   40976.6094     -9.11938    351.74023
   16   45   41913.9727     -3.24994    353.94214
   16   46   42849.4180      0.70154    358.06201
   16   47   43788.2109      8.00067    358.83423
   16   48   44724.9062     13.20215    361.70410
   16   49   45665.1992     22.00128    360.97632
   17   28   26108.3828     26.55542    186.14142
   17   29   27026.4648     13.14362    207.62457
   17   30   27949.2578      4.44275    224.39679
   17   31   28869.2422     -7.06671    243.97760
   17   32   29794.4727    -13.33008    258.31232
   17   33   30718.2930    -21.00360    274.05719
   17   34   31646.3496    -24.44080    285.56573
   17   35   32573.2715    -29.01276    298.20905
   17   36   33504.2578    -29.52026    306.78790
   17   37   34433.5117    -31.76019    317.09918
   17   38   35366.9688    -29.79700    323.20734
   17   39   36298.4609    -29.79865    331.28033
   17   40   37232.1953    -27.55811    337.11115
   17   41   38163.9414    -27.30585    344.93024
   17   42   39097.8281    -24.91296    350.60870
   17   43   40030.0703    -24.16461    357.93170
   17   44   40965.5000    -20.22876    362.06720
   17   45   41898.8594    -18.36322    368.27301
   17   46   42834.0078    -14.70862    372.68976
   17   47   43769.6914    -10.51886    376.57135
   17   48   44707.0000     -4.70410    378.82794
   17   49   45643.4961      0.29816    381.89703
   17   50   46581.9922      7.30042    382.96613
   17   51   47519.6797     13.49408    384.84381
   18   30   27964.8984     20.08337    207.97375
   18   31   28887.6016     11.29266    224.83582
   18   32   29805.6035     -2.19922    246.39905
   18   33   30729.9121     -9.38446    261.65564
   18   34   31652.4121    -18.37830    278.72083
   18   35   32579.2363    -23.04791    291.46179
   18   36   33503.5469    -30.23120    306.71643
   18   37   34434.3242    -30.94769    315.50427
   18   38   35362.0547    -34.71106    327.33899
   18   39   36295.0195    -33.24005    333.93933
   18   40   37224.7148    -35.03857    343.80920
   18   41   38158.1797    -33.06757    349.90955
   18   42   39088.3203    -34.42078    359.33411
   18   43   40022.2266    -32.00836    364.99304
   18   44   40953.0547    -32.67407    373.73010
   18   45   41887.4531    -29.76947    378.89685
   18   46   42818.9961    -29.72034    386.91907
   18   47   43754.3008    -25.90948    391.17957
   18   48   44687.9883    -23.71582    397.05725
   18   49   45625.0508    -18.14716    399.55994
   18   50   46560.1875    -14.50427    403.98840
   18   51   47498.3906     -7.79498    405.35046
   18   52   48434.6797     -2.99976    408.62659
   18   53   49373.7734      4.60016    409.09802
   19   32   29828.2207     20.41797    222.99945
   19   33   30746.0586      6.76202    244.72675
   19   34   31669.3086     -1.48181    261.04193
   19   35   32591.1152    -11.16901    278.80048
   19   36   33516.3516    -17.42651    293.12933
   19   37   34440.4727    -24.79926    308.57343
   19   38   35367.9648    -28.80090    320.64642
   19   39   36294.4531    -33.80646    333.72333
   19   40   37226.2148    -33.53857    341.52679
   19   41   38155.6875    -35.55975    351.61932
   19   42   39087.7188    -35.02234    359.15326
   19   43   40017.6406    -36.59430    368.79657
   19   44   40949.9180    -35.81079    376.08441
