41 106 53 134
41 103 53 134
39 95 55 141
44 106 50 132
39 99 55 141
36 90 58 146
38 93 56 144
37 93 57 147
40 102 54 136
42 105 52 133
43 107 51 132
35 87 59 148
40 100 54 140
42 106 52 132
37 93 57 143
37 95 57 143
41 103 53 134
35 91 59 147
35 90 59 149
39 98 55 139
43 106 51 132
42 108 52 130
39 95 55 142
38 96 56 141
42 104 52 135
38 94 56 145
35 89 59 149
36 95 58 144
36 91 58 146
42 104 52 134
41 107 53 133
40 100 54 137
41 100 53 136
38 96 56 140
36 94 58 144
41 104 53 135
40 98 54 138
38 95 56 141
39 97 55 141
40 98 54 137
36 94 58 144
37 93 57 143
41 102 53 135
42 106 52 131
39 100 55 139
41 105 53 134
37 92 57 147
38 94 56 143
40 101 54 134
42 105 52 134
35 91 59 147
43 104 51 133
43 104 51 132
43 108 51 131
43 106 51 131
40 101 54 136
40 101 54 138
40 99 54 137
37 93 57 144
41 107 53 132
42 105 52 132
39 100 55 138
41 102 53 138
40 99 54 137
39 96 55 141
40 96 54 142
42 108 52 129
37 94 57 143
42 105 52 132
38 96 56 142
40 100 54 137
40 100 54 138
40 101 54 136
40 100 54 138
39 97 55 140
35 91 59 147
34 85 60 151
42 108 52 131
43 107 51 133
41 103 53 135
41 103 53 135
43 105 51 133
38 96 56 142
39 97 55 139
39 100 55 138
42 104 52 134
37 92 57 146
37 95 57 142
36 94 58 144
41 102 53 137
40 99 54 138
38 98 56 140
40 102 54 135
43 107 51 130
40 101 54 134
41 101 53 135
35 89 59 149
39 100 55 139
41 100 53 137
44 109 50 128
43 105 51 136
36 89 58 148
43 107 51 131
36 92 58 146
42 104 52 134
40 102 54 135
42 107 52 131
39 98 55 139
40 97 54 139
40 102 54 136
39 99 55 139
37 90 57 147
38 94 56 143
36 91 58 148
38 92 56 146
39 99 55 140
37 94 57 146
38 97 56 142
43 107 51 132
39 101 55 136
35 88 59 149
39 97 55 141
38 95 56 142
41 103 53 136
40 99 54 138
43 108 51 132
42 106 52 131
42 104 52 134
38 95 56 141
40 100 54 138
44 108 50 130
41 104 53 134
41 105 53 134
40 102 54 136
38 93 56 144
42 104 52 134
39 96 55 141
36 90 58 148
42 106 52 132
38 93 56 143
38 95 56 142
37 94 57 144
38 96 56 140
36 94 58 145
39 95 55 142
36 92 58 146
41 105 53 134
44 109 50 128
41 102 53 136
40 102 54 137
40 102 54 136
41 101 53 136
39 100 55 139
36 92 58 146
39 95 55 143
43 108 51 130
37 93 57 147
39 98 55 142
37 94 57 144
38 98 56 141
42 106 52 132
42 106 52 134
42 107 52 131
42 108 52 131
41 107 53 132
43 109 51 129
39 96 55 141
42 106 52 133
40 98 54 137
37 94 57 144
39 101 55 138
36 92 58 145
44 109 50 130
41 104 53 133
40 100 54 137
38 94 56 142
38 95 56 143
39 97 55 141
37 91 57 145
38 93 56 144
42 104 52 134
37 93 57 145
42 105 52 132
36 90 58 147
40 101 54 136
40 98 54 138
35 90 59 148
40 98 54 137
42 103 52 135
43 105 51 133
39 98 55 139
42 101 52 136
42 108 52 133
41 104 53 135
42 104 52 135
35 90 59 149
41 103 53 136
39 98 55 140
40 102 54 136
42 104 52 133
40 101 54 137
42 105 52 134
34 90 60 150
41 105 53 133
37 92 57 147
40 100 54 138
40 98 54 136
42 106 52 132
44 108 50 129
37 95 57 143
38 95 56 143
44 107 50 130
42 102 52 134
43 106 51 131
38 96 56 142
40 102 54 135
40 98 54 137
38 94 56 145
38 98 56 140
40 103 54 136
42 103 52 134
39 95 55 143
44 110 50 127
38 96 56 140
42 106 52 133
41 102 53 136
42 106 52 134
36 92 58 148
43 105 51 134
40 101 54 137
42 104 52 134
42 102 52 136
37 93 57 144
40 97 54 139
39 100 55 137
37 94 57 144
43 106 51 132
42 105 52 132
38 96 56 142
42 105 52 131
42 103 52 134
37 91 57 145
42 106 52 132
39 96 55 141
40 102 54 137
37 95 57 141
41 104 53 135
36 92 58 146
42 105 52 133
41 103 53 135
38 96 56 142
39 99 55 139
38 95 56 142
39 98 55 140
36 90 58 146
39 98 55 139
41 102 53 134
38 96 56 143
43 105 51 132
40 100 54 138
38 93 56 144
38 94 56 144
39 98 55 140
39 97 55 140
35 89 59 149
37 97 57 143
39 101 55 137
39 100 55 139
41 104 53 134
41 105 53 135
39 96 55 141
41 101 53 136
37 90 57 149
38 93 56 142
42 105 52 132
41 105 53 133
39 98 55 139
41 104 53 136
43 107 51 131
37 94 57 146
40 98 54 138
40 100 54 138
40 100 54 136
36 90 58 147
38 98 56 138
37 94 57 144
36 89 58 147
44 106 50 130
36 92 58 146
40 101 54 136
40 103 54 136
41 104 53 134
42 106 52 133
39 100 55 138
44 111 50 124
41 106 53 132
39 99 55 140
38 95 56 141
40 100 54 136
35 90 59 148
40 101 54 137
41 103 53 137
41 103 53 136
37 94 57 145
39 94 55 143
39 96 55 140
42 106 52 131
41 103 53 135
43 105 51 132
37 94 57 146
37 94 57 145
41 103 53 135
40 101 54 138
40 100 54 138
42 109 52 130
41 102 53 136
39 98 55 140
38 94 56 143
39 98 55 141
40 103 54 135
40 98 54 139
41 103 53 136
39 97 55 141
38 97 56 141
40 100 54 136
39 101 55 137
38 95 56 142
41 103 53 135
39 100 55 139
39 101 55 137
