Photon Energy [MeV]    Counts per fission
4.977        0.000542
4.991        0.00052
5.005        0.000541
5.019        0.000488
5.033        0.000512
5.047        0.000488
5.061        0.000485
5.075        0.000488
5.089        0.000483
5.103        0.000467
5.117        0.00043
5.131        0.000457
5.145        0.000435
5.159        0.00045
5.173        0.00045
5.187        0.000403
5.201        0.00045
5.215        0.00038
5.229        0.000413
5.243        0.000392
5.257        0.000408
5.271        0.000434
5.285        0.000403
5.299        0.000352
5.313        0.000367
5.327        0.000372
5.341        0.000329
5.355        0.000329
5.369        0.000384
5.383        0.000324
5.397        0.00035
5.411        0.000283
5.425        0.000316
5.439        0.000334
5.453        0.000341
5.467        0.000299
5.481        0.000302
5.495        0.000325
5.509        0.000279
5.523        0.0003
5.537        0.000292
5.551        0.000267
5.565        0.000259
5.579        0.000263
5.593        0.000251
5.607        0.000271
5.621        0.000247
5.635        0.000247
5.649        0.000271
5.663        0.000245
5.677        0.000223
5.691        0.00024
5.705        0.000237
5.719        0.000221
5.733        0.000212
5.747        0.000211
5.761        0.00022
5.775        0.000219
5.789        0.000211
5.803        0.000183
5.817        0.000182
5.831        0.000186
5.845        0.000178
5.859        0.000179
5.873        0.000208
5.887        0.000192
5.901        0.00018
5.915        0.000176
5.929        0.000188
5.943        0.000171
5.957        0.000159
5.971        0.000139
5.985        0.000151
5.999        0.000157
6.013        0.000141
6.027        0.000159
6.041        0.000175
6.055        0.000148
6.069        0.000156
6.083        0.000119
6.097        0.000144
6.111        0.000151
6.125        0.00013
6.139        0.000123
6.153        0.000134
6.167        0.000122
6.181        0.000119
6.195        0.000125
6.209        0.000127
6.223        0.000136
6.237        0.000121
6.251        0.00012
6.265        9.9e-05
6.279        0.000115
6.293        0.000116
6.307        0.000104
6.321        0.000114
6.335        8.3e-05
6.349        0.000104
6.363        9.2e-05
6.377        8.8e-05
6.391        0.000112
6.405        9.7e-05
6.419        9.8e-05
6.433        7.7e-05
6.447        9.3e-05
6.461        9.9e-05
6.475        7.4e-05
6.489        8e-05
6.503        7.5e-05
6.517        9.6e-05
6.531        9.2e-05
6.545        7.9e-05
6.559        7.7e-05
6.573        6.7e-05
6.587        5.9e-05
6.601        7.5e-05
6.615        6.1e-05
6.629        6e-05
6.643        6.8e-05
6.657        6.8e-05
6.671        6.8e-05
6.685        6.3e-05
6.699        7.3e-05
6.713        7e-05
6.727        5.7e-05
6.741        5.7e-05
6.755        6.9e-05
6.769        5.7e-05
6.783        6.7e-05
6.797        6.5e-05
6.811        6.4e-05
6.825        6.1e-05
6.839        4.3e-05
6.853        4.6e-05
6.867        6.3e-05
6.881        3.8e-05
6.895        4.3e-05
6.909        3.6e-05
6.923        4.1e-05
6.937        4.3e-05
6.951        4.9e-05
6.965        4.8e-05
6.979        3.2e-05
