0          2.87211       0.853055       5.982         2.87206       0.853156        5.98198         nan       nan        nan         nan       nan        nan
0.5          2.91956       0.87221       6.1475         2.91956       0.872231        6.1475         nan       nan        nan         nan       nan        nan
1          3.07931       0.929448       6.58787         3.07934       0.929495        6.58787         2.71429       0.834727        6.55857         nan       nan        nan
1.5          3.16241       0.959779       6.82191         3.16284       0.959902        6.82311         2.7913       0.862455        5.7747         nan       nan        nan
2          3.23063       0.983789       7.03408         3.23222       0.984305        7.03835         2.74074       0.830466        5.72099         nan       nan        nan
2.5          3.3118       1.01704       7.28896         3.31516       1.01814        7.29723         2.82754       0.861821        6.0977         nan       nan        nan
3          3.37774       1.03781       7.47351         3.38363       1.0396        7.48986         2.88711       0.885786        6.11244         nan       nan        nan
3.5          3.44606       1.0654       7.69186         3.45393       1.06826        7.71698         3.00513       0.903026        6.2841         nan       nan        nan
4          3.51016       1.08897       7.91122         3.52239       1.09306        7.94523         2.99176       0.913486        6.47007         nan       nan        nan
4.5          3.59107       1.12168       8.15731         3.60593       1.12718        8.20358         3.09025       0.933758        6.59756         nan       nan        nan
5          3.65779       1.1462       8.38596         3.67644       1.15191        8.43847         3.13565       0.981735        6.91625         nan       nan        nan
5.25          3.69353       1.16048       8.48611         3.71272       1.16732        8.54858         3.2097       0.982838        6.91104         nan       nan        nan
5.5          3.72419       1.17092       8.58544         3.74818       1.17916        8.6561         3.1509       0.969529        6.89655         nan       nan        nan
5.75          3.75254       1.18556       8.70512         3.77712       1.19309        8.77664         3.19934       1.00999        7.09534         nan       nan        nan
6.25          3.38287       1.06613       7.59672         3.73417       1.16308        8.60076         3.3094       1.04495        7.38673         nan       nan        nan
6.5          3.2436       1.01831       7.18891         3.64118       1.14511        8.39298         3.21938       1.01027        7.11557         nan       nan        nan
6.75          3.14262       0.978823       6.89597         3.55735       1.10889        8.15426         3.1175       0.970581        6.81975         nan       nan        nan
7          3.05108       0.943512       6.63365         3.45685       1.0624        7.84707         3.02628       0.935856        6.5595         nan       nan        nan
7.25          3.08774       0.956907       6.72809         3.4924       1.08221        7.94891         3.06287       0.94884        6.65306         nan       nan        nan
