0   1000000   0   0   1000000
0.5   1000000   0   0   1000000
1   999911   89   0   1000000
1.5   998884   1116   0   1000000
2   996632   3368   0   1000000
2.5   992920   7080   0   1000000
3   988259   11741   0   1000000
3.5   982910   17090   0   1000000
4   977284   22716   0   1000000
4.5   971551   28449   0   1000000
5   965702   34298   0   1000000
5.25   962438   37562   0   1000000
5.5   959285   40715   0   1000000
5.75   956044   43956   0   1000000
6.00000001   952697   47303   0   1000000
6.25   173244   826756   0   1000000
6.5   57145   942855   0   1000000
6.75   57238   942762   0   1000000
7   57622   942378   0   1000000
7.25   58616   941384   0   1000000
