Photon Energy [MeV]    Counts per fission
4.977    0.000593
4.991    0.000598
5.005    0.000599
5.019    0.000557
5.033    0.000562
5.047    0.000596
5.061    0.000565
5.075    0.000543
5.089    0.000532
5.103    0.000477
5.117    0.000533
5.131    0.00051
5.145    0.000506
5.159    0.000487
5.173    0.000464
5.187    0.000499
5.201    0.000458
5.215    0.000437
5.229    0.000466
5.243    0.000438
5.257    0.000445
5.271    0.000412
5.285    0.000473
5.299    0.000398
5.313    0.000398
5.327    0.00042
5.341    0.00042
5.355    0.000353
5.369    0.000374
5.383    0.000411
5.397    0.000351
5.411    0.000354
5.425    0.000396
5.439    0.000363
5.453    0.000288
5.467    0.000336
5.481    0.000362
5.495    0.000335
5.509    0.00034
5.523    0.000318
5.537    0.000334
5.551    0.000301
5.565    0.000286
5.579    0.000293
5.593    0.000277
5.607    0.000287
5.621    0.000279
5.635    0.000283
5.649    0.00028
5.663    0.000257
5.677    0.000273
5.691    0.00024
5.705    0.000276
5.719    0.000241
5.733    0.000223
5.747    0.000237
5.761    0.000218
5.775    0.000232
5.789    0.000217
5.803    0.000206
5.817    0.000204
5.831    0.000207
5.845    0.000202
5.859    0.000213
5.873    0.000204
5.887    0.000209
5.901    0.000173
5.915    0.000181
5.929    0.000201
5.943    0.00019
5.957    0.000185
5.971    0.000194
5.985    0.000176
5.999    0.00017
6.013    0.00019
6.027    0.00015
6.041    0.000152
6.055    0.000149
6.069    0.000159
6.083    0.00016
6.097    0.000153
6.111    0.000167
6.125    0.000152
6.139    0.000134
6.153    0.00014
6.167    0.00013
6.181    0.000155
6.195    0.000127
6.209    0.000142
6.223    0.000125
6.237    0.000127
6.251    0.000105
6.265    0.000126
6.279    0.000107
6.293    0.000106
6.307    0.000104
6.321    0.000109
6.335    0.000105
6.349    0.000122
6.363    9.1e-05
6.377    0.000115
6.391    0.00012
6.405    0.000103
6.419    9.2e-05
6.433    9.4e-05
6.447    0.000105
6.461    9.9e-05
6.475    8.5e-05
6.489    8.5e-05
6.503    0.000103
6.517    9.8e-05
6.531    9.1e-05
6.545    8.8e-05
6.559    7.7e-05
6.573    9.1e-05
6.587    7.7e-05
6.601    7.3e-05
6.615    7.3e-05
6.629    9.6e-05
6.643    8.5e-05
6.657    6.6e-05
6.671    7.5e-05
6.685    5.5e-05
6.699    6.8e-05
6.713    6.8e-05
6.727    5.9e-05
6.741    5.7e-05
6.755    6.9e-05
6.769    5.8e-05
6.783    5.5e-05
6.797    6.7e-05
6.811    5.9e-05
6.825    6.7e-05
6.839    6.4e-05
6.853    5.2e-05
6.867    4.8e-05
6.881    4.6e-05
6.895    5e-05
6.909    4.9e-05
6.923    4.8e-05
6.937    4.7e-05
6.951    5.6e-05
6.965    5.1e-05
6.979    4.7e-05
