Photon Energy [MeV]    Counts per fission
4.977    0.000592
4.991    0.00063
5.005    0.000624
5.019    0.000561
5.033    0.000555
5.047    0.000546
5.061    0.000544
5.075    0.000513
5.089    0.00056
5.103    0.000512
5.117    0.000465
5.131    0.000509
5.145    0.000513
5.159    0.0005
5.173    0.000477
5.187    0.000481
5.201    0.000459
5.215    0.000477
5.229    0.000421
5.243    0.000474
5.257    0.000481
5.271    0.00044
5.285    0.00043
5.299    0.000431
5.313    0.000424
5.327    0.000407
5.341    0.000434
5.355    0.000391
5.369    0.000384
5.383    0.000366
5.397    0.000364
5.411    0.000367
5.425    0.000343
5.439    0.000382
5.453    0.000361
5.467    0.000373
5.481    0.000335
5.495    0.000342
5.509    0.000282
5.523    0.000328
5.537    0.00029
5.551    0.00031
5.565    0.000332
5.579    0.000317
5.593    0.000295
5.607    0.000283
5.621    0.000264
5.635    0.000301
5.649    0.000306
5.663    0.000263
5.677    0.000254
5.691    0.000257
5.705    0.000246
5.719    0.000292
5.733    0.000257
5.747    0.000217
5.761    0.000237
5.775    0.000247
5.789    0.000246
5.803    0.000221
5.817    0.000234
5.831    0.000216
5.845    0.00021
5.859    0.000208
5.873    0.000207
5.887    0.000201
5.901    0.000223
5.915    0.000201
5.929    0.000195
5.943    0.000197
5.957    0.000174
5.971    0.000165
5.985    0.000191
5.999    0.00015
6.013    0.000143
6.027    0.00017
6.041    0.000159
6.055    0.000171
6.069    0.000143
6.083    0.000164
6.097    0.000173
6.111    0.000163
6.125    0.000169
6.139    0.000155
6.153    0.00014
6.167    0.00015
6.181    0.00016
6.195    0.000128
6.209    0.000146
6.223    0.000143
6.237    0.000133
6.251    0.000142
6.265    0.000126
6.279    0.000155
6.293    0.000121
6.307    0.000114
6.321    0.0001
6.335    0.000119
6.349    0.000107
6.363    8.8e-05
6.377    0.000133
6.391    0.000101
6.405    0.000112
6.419    0.000114
6.433    9.2e-05
6.447    9.4e-05
6.461    0.000109
6.475    0.000104
6.489    9.3e-05
6.503    9.6e-05
6.517    8.2e-05
6.531    9.4e-05
6.545    0.0001
6.559    9.6e-05
6.573    7e-05
6.587    7.5e-05
6.601    7.5e-05
6.615    8e-05
6.629    7.5e-05
6.643    7.1e-05
6.657    7.9e-05
6.671    7.8e-05
6.685    7.6e-05
6.699    7.5e-05
6.713    5.6e-05
6.727    5.6e-05
6.741    7.4e-05
6.755    6.9e-05
6.769    6.9e-05
6.783    6.2e-05
6.797    6.4e-05
6.811    6.4e-05
6.825    6.1e-05
6.839    5.5e-05
6.853    5.2e-05
6.867    5.4e-05
6.881    5.3e-05
6.895    4.6e-05
6.909    5.8e-05
6.923    5.3e-05
6.937    5e-05
6.951    6.1e-05
6.965    4.6e-05
6.979    4.3e-05
