         When calculating values from photon spectrum, no scaling 		7.0254       0.991973            6.96901
         When calculating values from photon spectrum, with scaling 	5.78349      1.15642             6.68816

         When using old calculating way, no scaling						 7.02584     0.993689            6.98305 
