iAZ(Z,m): Mass numbers for each Z
    8   80: minZ & maxZ
   43    6   94
   43    7   95
   43    8   96
   43    9   97
   43   10   98
   43   11   99
   43   12  100
   43   13  101
   43   14  102
   43   15  103
   43   16  104
   43   17  105
   43   18  107
   43   19  108
   43   20  109
   44    1   91
   44    2   92
   44    3   93
   44    4   94
   44    5   95
   44    6   96
   44    7   97
   44    8   98
   44    9   99
   44   10  100
   44   11  101
   44   12  102
   44   13  103
   44   14  104
   44   15  105
   44   16  106
   44   17  107
   44   18  108
   44   19  109
   44   20  110
   44   21  111
   44   22  112
   45    1   92
   45    2   93
   45    3   95
   45    4   96
   45    5   97
   45    6   98
   45    7   99
   45    8  100
   45    9  101
   45   10  102
   45   11  103
   45   12  104
   45   13  105
   45   14  106
   45   15  107
   45   16  109
   45   17  111
   45   18  113
   46    1   95
   46    2   97
   46    3   98
   46    4   99
   46    5  100
   46    6  101
   46    7  102
   46    8  103
   46    9  104
   46   10  105
   46   11  106
   46   12  107
   46   13  108
   46   14  109
   46   15  110
   46   16  111
   46   17  113
   46   18  114
   46   19  115
   46   20  116
   46   21  118
   47    1   98
   47    2   99
   47    3  100
   47    4  101
   47    5  102
   47    6  103
   47    7  104
   47    8  105
   47    9  106
   47   10  107
   47   11  108
   47   12  109
   47   13  110
   47   14  111
   47   15  115
   48    1  100
   48    2  101
   48    3  102
   48    4  103
   48    5  104
   48    6  105
   48    7  106
   48    8  107
   48    9  108
   48   10  109
   48   11  110
   48   12  111
   48   13  112
   48   14  113
   48   15  114
   48   16  115
   48   17  116
   48   18  117
   48   19  118
   48   20  119
   48   21  120
   48   22  121
   48   23  122
   48   24  123
   49    1  102
   49    2  103
   49    3  104
   49    4  105
   49    5  106
   49    6  107
   49    7  108
   49    8  109
   49    9  110
   49   10  111
   49   11  112
   49   12  113
   49   13  114
   49   14  115
   49   15  116
   49   16  117
   49   17  119
   49   18  121
   49   19  123
   49   20  125
   49   21  127
   50    1  104
   50    2  105
   50    3  106
   50    4  107
   50    5  108
   50    6  109
   50    7  110
   50    8  111
   50    9  112
   50   10  113
   50   11  114
   50   12  115
   50   13  116
   50   14  117
   50   15  118
   50   16  119
   50   17  120
   50   18  121
   50   19  122
   50   20  123
   50   21  124
   50   22  125
   50   23  126
   50   24  127
   50   25  128
   50   26  130
   50   27  131
   50   28  132
   51    1  106
   51    2  107
   51    3  108
   51    4  109
   51    5  110
   51    6  111
   51    7  112
   51    8  113
   51    9  114
   51   10  115
   51   11  116
   51   12  117
   51   13  118
   51   14  119
   51   15  120
   51   16  121
   51   17  122
   51   18  123
   51   19  124
   51   20  127
   51   21  129
   51   22  130
   51   23  131
   51   24  132
   51   25  133
   51   26  134
   51   27  135
   52    1  108
   52    2  109
   52    3  110
   52    4  111
   52    5  112
   52    6  113
   52    7  114
   52    8  115
   52    9  116
   52   10  117
   52   11  118
   52   12  119
   52   13  120
   52   14  121
   52   15  122
   52   16  123
   52   17  124
   52   18  125
   52   19  126
   52   20  127
   52   21  128
   52   22  129
   52   23  131
   52   24  132
   52   25  133
   52   26  134
   52   27  135
   52   28  136
   53    1  110
   53    2  111
   53    3  113
   53    4  114
   53    5  115
   53    6  116
   53    7  117
   53    8  118
   53    9  119
   53   10  120
   53   11  121
   53   12  122
   53   13  123
   53   14  124
   53   15  125
   53   16  126
   53   17  127
   53   18  128
   53   19  129
   53   20  130
   53   21  131
   53   22  133
   53   23  135
   54    1  113
   54    2  114
   54    3  115
   54    4  116
   54    5  117
   54    6  118
   54    7  119
   54    8  120
   54    9  121
   54   10  122
   54   11  123
   54   12  124
   54   13  125
   54   14  126
   54   15  127
   54   16  128
   54   17  129
   54   18  130
   54   19  131
   54   20  132
   54   21  133
   54   22  134
   54   23  135
   54   24  136
   54   25  137
   54   26  138
   54   27  139
   54   28  140
   54   29  142
   55    1  117
   55    2  120
   55    3  121
   55    4  122
   55    5  123
   55    6  124
   55    7  125
   55    8  126
   55    9  127
   55   10  129
   55   11  130
   55   12  131
   55   13  132
   55   14  133
   55   15  134
   55   16  137
   55   17  138
   55   18  139
   55   19  140
   55   20  141
   55   21  142
   55   22  143
   56    1  119
   56    2  120
   56    3  121
   56    4  122
   56    5  123
   56    6  124
   56    7  125
   56    8  126
   56    9  127
   56   10  128
   56   11  129
   56   12  130
   56   13  131
   56   14  132
   56   15  133
   56   16  134
   56   17  135
   56   18  136
   56   19  137
   56   20  138
   56   21  139
   56   22  140
   56   23  141
   56   24  142
   56   25  143
   56   26  144
   56   27  145
   56   28  146
   56   29  147
   57    1  123
   57    2  124
   57    3  125
   57    4  126
   57    5  127
   57    6  128
   57    7  129
   57    8  130
   57    9  131
   57   10  132
   57   11  133
   57   12  134
   57   13  135
   57   14  136
   57   15  137
   57   16  138
   57   17  139
   57   18  140
   57   19  141
   57   20  142
   57   21  143
   57   22  144
   57   23  145
   57   24  146
   57   25  147
   57   26  148
   58    1  124
   58    2  126
   58    3  127
   58    4  128
   58    5  129
   58    6  130
   58    7  131
   58    8  132
   58    9  133
   58   10  134
   58   11  135
   58   12  136
   58   13  137
   58   14  138
   58   15  139
   58   16  140
   58   17  141
   58   18  142
   58   19  143
   58   20  144
   58   21  145
   58   22  146
   58   23  147
   58   24  148
   58   25  149
   59    1  125
   59    2  126
   59    3  127
   59    4  128
   59    5  129
   59    6  130
   59    7  131
   59    8  132
   59    9  133
   59   10  135
   59   11  136
   59   12  137
   59   13  138
   59   14  139
   59   15  140
   59   16  141
   59   17  142
   59   18  143
   59   19  145
   59   20  147
   59   21  149
   60    1  129
   60    2  130
   60    3  131
   60    4  132
   60    5  133
   60    6  134
   60    7  135
   60    8  136
   60    9  137
   60   10  138
   60   11  139
   60   12  140
   60   13  141
   60   14  142
   60   15  143
   60   16  144
   60   17  145
   60   18  146
   60   19  147
   60   20  148
   60   21  149
   60   22  150
   60   23  152
   60   24  154
   61    1  133
   61    2  135
   61    3  136
   61    4  137
   61    5  139
   61    6  141
   61    7  142
   61    8  143
   61    9  144
   61   10  145
   61   11  146
   61   12  147
   61   13  148
   61   14  149
   61   15  151
   61   16  153
