Index for nucleus (Z,A)
    8   80: minZ & maxZ
   42    8  432
   42    9  433
   42   10  434
   42   11  435
   42   12  436
   42   13  437
   42   14  438
   42   15  439
   42   16  440
   42   17  441
   42   18  442
   42   19  443
   42   20  444
   42   21  445
   42   22  446
   42   23  447
   43    1  448
   43    2  449
   43    3  450
   43    4  451
   43    5  452
   43    6  453
   43    7  454
   43    8  455
   43    9  456
   43   10  457
   43   11  458
   43   12  459
   43   13  460
   43   14  461
   43   15  462
   43   16  463
   43   17  464
   43   18    0
   43   19  465
   43   20  466
   43   21  467
   44    1  468
   44    2  469
   44    3  470
   44    4  471
   44    5  472
   44    6  473
   44    7  474
   44    8  475
   44    9  476
   44   10  477
   44   11  478
   44   12  479
   44   13  480
   44   14  481
   44   15  482
   44   16  483
   44   17  484
   44   18  485
   44   19  486
   44   20  487
   44   21  488
   44   22  489
   45    1  490
   45    2  491
   45    3    0
   45    4  492
   45    5  493
   45    6  494
   45    7  495
   45    8  496
   45    9  497
   45   10  498
   45   11  499
   45   12  500
   45   13  501
   45   14  502
   45   15  503
   45   16  504
   45   17    0
   45   18  505
   45   19    0
   45   20  506
   45   21    0
   45   22  507
   46    1  508
   46    2    0
   46    3  509
   46    4  510
   46    5  511
   46    6  512
   46    7  513
   46    8  514
   46    9  515
   46   10  516
   46   11  517
   46   12  518
   46   13  519
   46   14  520
   46   15  521
   46   16  522
   46   17  523
   46   18    0
   46   19  524
   46   20  525
   46   21  526
   46   22  527
   46   23    0
   46   24  528
   47    1  529
   47    2  530
   47    3  531
   47    4  532
   47    5  533
   47    6  534
   47    7  535
   47    8  536
   47    9  537
   47   10  538
   47   11  539
   47   12  540
   47   13  541
   47   14  542
   47   15    0
   47   16    0
   47   17    0
   47   18  543
   48    1  544
   48    2  545
   48    3  546
   48    4  547
   48    5  548
   48    6  549
   48    7  550
   48    8  551
   48    9  552
   48   10  553
   48   11  554
   48   12  555
   48   13  556
   48   14  557
   48   15  558
   48   16  559
   48   17  560
   48   18  561
   48   19  562
   48   20  563
   48   21  564
   48   22  565
   48   23  566
   48   24  567
   49    1  568
   49    2  569
   49    3  570
   49    4  571
   49    5  572
   49    6  573
   49    7  574
   49    8  575
   49    9  576
   49   10  577
   49   11  578
   49   12  579
   49   13  580
   49   14  581
   49   15  582
   49   16  583
   49   17    0
   49   18  584
   49   19    0
   49   20  585
   49   21    0
   49   22  586
   49   23    0
   49   24  587
   49   25    0
   49   26  588
   50    1  589
   50    2  590
   50    3  591
   50    4  592
   50    5  593
   50    6  594
   50    7  595
   50    8  596
   50    9  597
   50   10  598
   50   11  599
   50   12  600
   50   13  601
   50   14  602
   50   15  603
   50   16  604
   50   17  605
   50   18  606
   50   19  607
   50   20  608
   50   21  609
   50   22  610
   50   23  611
   50   24  612
   50   25  613
   50   26    0
   50   27  614
   50   28  615
   50   29  616
   51    1  617
   51    2  618
   51    3  619
   51    4  620
   51    5  621
   51    6  622
   51    7  623
   51    8  624
   51    9  625
   51   10  626
   51   11  627
   51   12  628
   51   13  629
   51   14  630
   51   15  631
   51   16  632
   51   17  633
   51   18  634
   51   19  635
   51   20    0
   51   21    0
   51   22  636
   51   23    0
   51   24  637
   51   25  638
   51   26  639
   51   27  640
   51   28  641
   51   29  642
   51   30  643
   52    1  644
   52    2  645
   52    3  646
   52    4  647
   52    5  648
   52    6  649
   52    7  650
   52    8  651
   52    9  652
   52   10  653
   52   11  654
   52   12  655
   52   13  656
   52   14  657
   52   15  658
   52   16  659
   52   17  660
   52   18  661
   52   19  662
   52   20  663
   52   21  664
   52   22  665
   52   23    0
   52   24  666
   52   25  667
   52   26  668
   52   27  669
   52   28  670
   52   29  671
   53    1  672
   53    2  673
   53    3    0
   53    4  674
   53    5  675
   53    6  676
   53    7  677
   53    8  678
   53    9  679
   53   10  680
   53   11  681
   53   12  682
   53   13  683
   53   14  684
   53   15  685
   53   16  686
   53   17  687
   53   18  688
   53   19  689
   53   20  690
   53   21  691
   53   22  692
   53   23    0
   53   24  693
   53   25    0
   53   26  694
   54    1  695
   54    2  696
   54    3  697
   54    4  698
   54    5  699
   54    6  700
   54    7  701
   54    8  702
   54    9  703
   54   10  704
   54   11  705
   54   12  706
   54   13  707
   54   14  708
   54   15  709
   54   16  710
   54   17  711
   54   18  712
   54   19  713
   54   20  714
   54   21  715
   54   22  716
   54   23  717
   54   24  718
   54   25  719
   54   26  720
   54   27  721
   54   28  722
   54   29    0
   54   30  723
   55    1  724
   55    2    0
   55    3    0
   55    4  725
   55    5  726
   55    6  727
   55    7  728
   55    8  729
   55    9  730
   55   10  731
   55   11  732
   55   12    0
   55   13  733
   55   14  734
   55   15  735
   55   16  736
   55   17  737
   55   18  738
   55   19    0
   55   20    0
   55   21  739
   55   22  740
   55   23  741
   55   24  742
   55   25  743
   55   26  744
   55   27  745
   56    1  746
   56    2  747
   56    3  748
   56    4  749
   56    5  750
   56    6  751
   56    7  752
   56    8  753
   56    9  754
   56   10  755
   56   11  756
   56   12  757
   56   13  758
   56   14  759
   56   15  760
   56   16  761
   56   17  762
   56   18  763
   56   19  764
   56   20  765
   56   21  766
   56   22  767
   56   23  768
   56   24  769
   56   25  770
   56   26  771
   56   27  772
   56   28  773
   56   29  774
   57    1  775
   57    2  776
   57    3  777
   57    4  778
   57    5  779
   57    6  780
   57    7  781
   57    8  782
   57    9  783
   57   10  784
   57   11  785
   57   12  786
   57   13  787
   57   14  788
   57   15  789
   57   16  790
   57   17  791
   57   18  792
   57   19  793
   57   20  794
   57   21  795
   57   22  796
   57   23  797
   57   24  798
   57   25  799
   57   26  800
   58    1  801
   58    2    0
   58    3  802
   58    4  803
   58    5  804
   58    6  805
   58    7  806
   58    8  807
   58    9  808
   58   10  809
   58   11  810
   58   12  811
   58   13  812
   58   14  813
   58   15  814
   58   16  815
   58   17  816
   58   18  817
   58   19  818
   58   20  819
   58   21  820
   58   22  821
   58   23  822
   58   24  823
   58   25  824
   58   26  825
   59    1  826
   59    2  827
   59    3  828
   59    4  829
   59    5  830
   59    6  831
   59    7  832
   59    8  833
   59    9  834
   59   10    0
   59   11  835
   59   12  836
   59   13  837
   59   14  838
   59   15  839
   59   16  840
   59   17  841
   59   18  842
   59   19  843
   59   20    0
   59   21  844
   59   22    0
   59   23  845
   59   24    0
   59   25  846
   60    1  847
   60    2  848
   60    3  849
   60    4  850
   60    5  851
   60    6  852
   60    7  853
   60    8  854
   60    9  855
   60   10  856
   60   11  857
   60   12  858
   60   13  859
   60   14  860
   60   15  861
   60   16  862
   60   17  863
   60   18  864
   60   19  865
   60   20  866
   60   21  867
   60   22  868
   60   23    0
   60   24  869
   60   25    0
   60   26  870
   61    1  871
   61    2    0
   61    3  872
   61    4  873
   61    5  874
   61    6    0
   61    7  875
   61    8    0
   61    9  876
   61   10  877
   61   11  878
   61   12  879
   61   13  880
   61   14  881
   61   15  882
   61   16  883
   61   17  884
   61   18    0
   61   19  885
   61   20    0
   61   21  886
   61   22  887
   61   23  888
   62    1  889
   62    2  890
   62    3  891
   62    4  892
   62    5  893
   62    6  894
   62    7  895
   62    8  896
   62    9  897
   62   10  898
   62   11  899
   62   12  900
   62   13  901
   62   14  902
   62   15  903
   62   16  904
   62   17  905
   62   18  906
   62   19  907
   62   20  908
   62   21  909
   62   22  910
   63    1  911
   63    2    0
   63    3  912
   63    4  913
   63    5  914
   63    6  915
   63    7  916
   63    8  917
   63    9  918
   63   10  919
   63   11  920
   63   12  921
   63   13  922
   63   14  923
   63   15  924
   63   16  925
   63   17  926
   63   18  927
   63   19  928
   63   20    0
   63   21  929
   64    1  930
   64    2  931
   64    3  932
   64    4  933
   64    5  934
   64    6  935
   64    7  936
   64    8  937
   64    9  938
   64   10  939
   64   11  940
   64   12  941
   64   13  942
   64   14  943
   64   15  944
   64   16  945
   64   17  946
   64   18  947
   64   19  948
   64   20  949
   64   21  950
   64   22  951
   64   23  952
   64   24  953
   64   25  954
   65    1  955
   65    2  956
   65    3  957
   65    4    0
   65    5  958
   65    6  959
   65    7  960
   65    8  961
   65    9  962
   65   10  963
   65   11  964
   65   12  965
   65   13  966
   65   14  967
   65   15    0
   65   16  968
   65   17  969
   65   18  970
   65   19  971
   65   20  972
