nl(N): Number of energy levels in nucleus #N
 1305: Number of Nuclei
   44    1    8   15
   29    2    8   16
   47    3    8   17
   32    4    8   18
   28    5    8   19
   11    6    8   20
   24    7    9   16
   37    8    9   17
   76    9    9   18
   67   10    9   19
  108   11    9   20
   26   12    9   21
    8   13    9   22
   11   14   10   18
   27   15   10   19
   49   16   10   20
   71   17   10   21
   50   18   10   22
   36   19   10   23
   24   20   10   24
   19   21   11   20
   26   22   11   21
   42   23   11   22
   73   24   11   23
   84   25   11   24
   30   26   11   25
   17   27   11   26
   20   28   11   27
   14   29   12   21
   26   30   12   22
   37   31   12   23
   28   32   12   24
   33   33   12   25
   42   34   12   26
   31   35   12   27
   15   36   12   28
   24   37   13   24
   23   38   13   25
   61   39   13   26
   24   40   13   27
   49   41   13   28
   27   42   13   29
   26   43   13   30
   10   44   14   26
   26   45   14   27
   30   46   14   28
   35   47   14   29
   23   48   14   30
   36   49   14   31
   17   50   14   32
   24   51   15   28
   22   52   15   29
   48   53   15   30
   34   54   15   31
   37   55   15   32
   32   56   15   33
   15   57   15   35
   27   58   16   30
   25   59   16   31
   32   60   16   32
   37   61   16   33
   36   62   16   34
   32   63   16   35
   15   64   16   36
   21   65   16   37
   15   66   17   31
   26   67   17   32
   29   68   17   33
   44   69   17   34
   34   70   17   35
   35   71   17   36
   61   72   17   37
   31   73   17   38
   20   74   17   39
   11   75   18   34
   23   76   18   35
   29   77   18   36
   33   78   18   37
   76   79   18   38
   35   80   18   39
   78   81   18   40
   30   82   18   41
   18   83   18   42
    9   84   18   45
   28   85   19   37
   47   86   19   38
   64   87   19   39
   61   88   19   40
   61   89   19   41
   58   90   19   42
   37   91   19   43
   16   92   19   45
   15   93   19   47
   11   94   20   38
   28   95   20   39
   26   96   20   40
   48   97   20   41
   91   98   20   42
   44   99   20   43
   60  100   20   44
   35  101   20   45
   54  102   20   46
   26  103   20   47
   13  104   20   48
   11  105   20   49
   22  106   20   50
    9  107   21   40
   36  108   21   41
   53  109   21   42
   40  110   21   43
   38  111   21   44
   59  112   21   45
   67  113   21   46
   28  114   21   47
   35  115   21   48
   25  116   21   49
    9  117   21   50
   15  118   21   51
   16  119   22   42
   17  120   22   44
   29  121   22   45
   58  122   22   46
   55  123   22   47
   63  124   22   48
   41  125   22   49
   40  126   22   50
   35  127   22   51
   20  128   22   52
   15  129   23   45
   21  130   23   46
   23  131   23   47
   33  132   23   48
   36  133   23   49
   43  134   23   50
   69  135   23   51
   32  136   23   52
   24  137   23   53
   17  138   23   54
   12  139   24   46
    9  140   24   47
   11  141   24   48
   48  142   24   49
   38  143   24   50
   91  144   24   51
   17  145   24   52
   34  146   24   53
   39  147   24   54
   29  148   24   55
   23  149   24   56
    8  150   24   57
   15  151   25   50
   28  152   25   51
   47  153   25   52
   44  154   25   53
   34  155   25   54
   92  156   25   55
   42  157   25   56
   36  158   25   57
   24  159   25   58
    8  160   26   51
    9  161   26   52
   24  162   26   53
   25  163   26   54
   31  164   26   55
   78  165   26   56
   30  166   26   57
   60  167   26   58
   27  168   26   59
   28  169   26   60
   16  170   26   62
   45  171   27   54
   29  172   27   55
   32  173   27   56
   54  174   27   57
   52  175   27   58
   79  176   27   59
   65  177   27   60
   50  178   27   61
   25  179   27   62
   26  180   27   63
   14  181   27   64
   15  182   27   65
   11  183   28   55
    9  184   28   56
   27  185   28   57
   23  186   28   58
   27  187   28   59
   48  188   28   60
   36  189   28   61
   49  190   28   62
   23  191   28   63
   49  192   28   64
   31  193   28   65
   18  194   28   66
   10  195   28   68
   13  196   29   58
   39  197   29   59
   32  198   29   60
   46  199   29   61
   56  200   29   62
   96  201   29   63
   94  202   29   64
   62  203   29   65
   32  204   29   66
   26  205   29   67
   17  206   29   69
   20  207   29   71
   12  208   30   60
   10  209   30   61
   14  210   30   62
   32  211   30   63
   75  212   30   64
   19  213   30   65
   55  214   30   66
   31  215   30   67
   50  216   30   68
   29  217   30   69
   46  218   30   70
   17  219   30   71
    9  220   30   72
    8  221   30   74
   15  222   31   63
   24  223   31   64
   15  224   31   65
   40  225   31   66
   31  226   31   67
   61  227   31   68
   46  228   31   69
   57  229   31   70
   23  230   31   71
   61  231   31   72
   23  232   31   73
   43  233   31   75
    9  234   31   76
   20  235   31   77
   13  236   31   78
   15  237   31   79
   10  238   32   64
    8  239   32   65
    9  240   32   66
   16  241   32   67
   18  242   32   68
   59  243   32   69
   77  244   32   70
   45  245   32   71
   50  246   32   72
   40  247   32   73
   66  248   32   74
   25  249   32   75
   44  250   32   76
   19  251   32   77
   12  252   32   78
   10  253   32   79
    9  254   32   80
   16  255   32   81
   12  256   33   68
   19  257   33   69
   45  258   33   70
   32  259   33   71
   49  260   33   72
   37  261   33   73
   76  262   33   74
   31  263   33   75
   82  264   33   76
   33  265   33   77
   28  266   33   78
   28  267   33   79
   14  268   33   80
   17  269   33   81
   16  270   33   83
    9  271   34   69
    8  272   34   70
    8  273   34   71
   13  274   34   72
   20  275   34   73
   37  276   34   74
   53  277   34   75
   37  278   34   76
   36  279   34   77
   72  280   34   78
   40  281   34   79
   42  282   34   80
   49  283   34   81
   20  284   34   82
   10  285   34   83
   24  286   34   84
    8  287   35   70
   15  288   35   71
   39  289   35   72
   16  290   35   73
   55  291   35   74
   20  292   35   75
   37  293   35   76
   36  294   35   77
   42  295   35   78
   45  296   35   79
   93  297   35   80
   44  298   35   81
   50  299   35   82
   27  300   35   83
   15  301   35   85
    8  302   35   86
    9  303   36   72
   11  304   36   73
    9  305   36   74
   18  306   36   75
    8  307   36   76
