E(l,N) & nk(l,N) & t(N,l): 
     38174: Number of levels
       163  4.328100        10      2335   3.04E-20
       164  4.402500        11      2346   3.04E-20
       165  4.582000        12      2358   8.77E-21
       166  4.702600        13      2371   3.04E-20
       167  4.968300        14      2385   0.00E+00
       168  5.007000        15      2400   3.04E-20
       169  5.082000        16      2416   9.31E-21
       170  5.148400        17      2433   1.34E-19
       171  5.384000        18      2451   0.00E+00
       172  5.503500        19      2470   3.04E-20
       173  5.540000        20      2490   9.31E-22
       174  5.704600        21      2511   5.85E-20
       175  6.119600        22      2533   4.15E-21
       176  6.191600        23      2556   0.00E+00
       177  6.269300        24      2580   2.38E-20
       178  6.405800        25      2605   0.00E+00
       179  6.466200        26      2631   0.00E+00
       180  6.583000        27      2658   0.00E+00
       181  0.000000         0      2658   1.35E+01
       182  1.673680         1      2659   7.30E-12
       183  3.570000         2      2661   0.00E+00
       184  4.072000         3      2664   0.00E+00
       185  4.456000         4      2668   0.00E+00
       186  4.850000         5      2673   0.00E+00
       187  5.002000         6      2679   0.00E+00
       188  5.234000         7      2686   0.00E+00
       189  5.304000         8      2694   0.00E+00
       190  5.387000         9      2703   0.00E+00
       191  5.614000        10      2713   0.00E+00
       192  0.000000         0      2713   1.14E-20
       193  0.193000         1      2714   1.14E-20
       194  0.424000         2      2716   1.14E-20
       195  0.721000         3      2719   3.04E-20
       196  3.758000         4      2723   1.14E-20
       197  3.870000         5      2728   2.28E-20
       198  4.372000         6      2734   9.13E-21
       199  4.654000         7      2741   7.60E-21
       200  4.710000         8      2749   0.00E+00
       201  4.977000         9      2758   7.60E-21
       202  5.272000        10      2768   0.00E+00
       203  5.404000        11      2779   0.00E+00
       204  5.449000        12      2791   0.00E+00
       205  5.524000        13      2804   0.00E+00
       206  5.570000        14      2818   0.00E+00
       207  5.856000        15      2833   0.00E+00
       208  6.050000        16      2849   0.00E+00
       209  6.224000        17      2866   0.00E+00
       210  6.372000        18      2884   0.00E+00
       211  6.559000        19      2903   0.00E+00
       212  6.679000        20      2923   1.01E-20
       213  6.930000        21      2944   0.00E+00
       214  7.110000        22      2966   0.00E+00
       215  7.500000        23      2989   4.80E-22
       216  0.000000         0      2989   6.45E+01
       217  0.495330         1      2990   2.86E-10
       218  3.104000         1      2991   2.40E-20
       219  3.857000         1      2992   3.04E-19
       220  4.640000         4      2996   2.03E-21
       221  5.000000         5      3001   2.98E-22
       222  5.220000         6      3007   0.00E+00
       223  5.488000         7      3014   6.71E-21
       224  5.672000         8      3022   1.14E-20
       225  5.682000         9      3031   7.60E-19
       226  5.820000        10      3041   2.54E-21
       227  6.037000        11      3052   1.52E-20
       228  6.560000        12      3064   2.28E-21
       229  6.697001        13      3077   2.53E-19
       230  6.774000        14      3091   1.01E-19
       231  7.027000        15      3106   1.20E-19
       232  7.356000        16      3122   4.56E-20
       233  7.448000        17      3139   9.13E-20
       234  7.454000        18      3157   6.52E-20
       235  7.471000        19      3176   9.13E-20
       236  7.479001        20      3196   5.74E-22
       237  7.546000        21      3217   1.52E-20
       238  7.750000        22      3239   2.55E-21
       239  7.950000        23      3262   4.56E-20
       240  8.010000        24      3286   9.13E-21
       241  8.070001        25      3311   4.56E-21
       242  8.075001        26      3337   0.00E+00
       243  8.200001        27      3364   6.52E-22
       244  8.383000        28      3392   4.15E-20
       245  8.416000        29      3421   1.01E-20
       246  8.436001        30      3451   0.00E+00
       247  8.750000        31      3482   2.68E-21
       248  8.760000        32      3514   5.07E-21
       249  8.825001        33      3547   0.00E+00
       250  8.980000        34      3581   2.77E-21
       251  9.170000        35      3616   3.26E-21
       252  9.450001        36      3652   2.28E-21
       253  0.000000         0      3652   6.59E+03
       254  0.937200         1      3653   4.69E-11
       255  1.041550         1      3654   1.77E-15
       256  1.080540         1      3655   1.91E-11
       257  1.121360         1      3656   1.62E-07
       258  1.700810         2      3658   6.62E-13
       259  2.100610         3      3661   3.50E-12
       260  2.523350         3      3664   4.08E-13
       261  3.061840         3      3667   8.30E-16
       262  3.133870         4      3671   2.70E-13
       263  3.358200         4      3675   3.00E-13
       264  3.724190         3      3678   1.90E-15
       265  3.791490         3      3681   1.32E-12
       266  3.839170         4      3685   1.32E-14
       267  4.115900         2      3687   6.30E-14
       268  4.225800         6      3693   7.60E-14
       269  4.360150         1      3694   1.90E-14
       270  4.398100         3      3697   4.00E-14
       271  4.652000         2      3699   7.00E-15
       272  4.753000         2      3701   0.00E+00
