
0.001664  0.000348  1995.285833 
0.002330  0.000228  2534.229885 
0.001470  0.000337  2842.113650 
0.001161  0.000252  2245.125337 
2.563314  nan  nan 
0.002446  0.000417  3877.043547 
0.002559  0.000283  3642.403968 
0.534708  0.000409  1884130.575566 
0.002340  0.000320  2382.324728 
0.001890  0.000298  2212.966837 
0.002236  0.000286  3001.285095 
0.002035  0.000156  1854.165281 
0.003043  0.000381  3502.920210 
0.002324  0.000499  4013.271871 
0.002638  0.000453  2661.268703 
0.785158  nan  nan 
0.002628  0.000437  2716.179711 
0.002878  0.000226  3571.517107 
0.002192  0.000467  2326.152044 
